,Name,Date,Public,Country,Weekday,Observed_day
69,Army Birthday,2022-06-14,False,US,Tuesday,Tuesday
70,Flag Day,2022-06-14,False,US,Tuesday,Tuesday
71,Feast of Corpus Christi,2022-06-16,False,US,Thursday,Thursday
72,Father's Day,2022-06-19,False,US,Sunday,Sunday
73,Juneteenth National Independence Day,2022-06-19,True,US,Sunday,Monday
74,American Eagle Day,2022-06-20,False,US,Monday,Monday
75,June Solstice,2022-06-21,False,US,Tuesday,Tuesday
76,Helen Keller Day,2022-06-27,False,US,Monday,Monday
77,Independence Day,2022-07-04,True,US,Monday,Monday
78,Bastille Day,2022-07-14,False,US,Thursday,Thursday
79,Parents' Day,2022-07-24,False,US,Sunday,Sunday
80,National Korean War Veterans Armistice Day,2022-07-27,False,US,Wednesday,Wednesday
81,Coast Guard Birthday,2022-08-04,False,US,Thursday,Thursday
82,Purple Heart Day,2022-08-07,False,US,Sunday,Sunday
83,Assumption of Mary,2022-08-15,False,US,Monday,Monday
84,National Aviation Day,2022-08-19,False,US,Friday,Friday
85,Senior Citizens Day,2022-08-21,False,US,Sunday,Sunday
86,Women's Equality Day,2022-08-26,False,US,Friday,Friday
87,Labor Day,2022-09-05,True,US,Monday,Monday
88,Carl Garner Federal Lands Cleanup Day,2022-09-10,False,US,Saturday,Saturday
89,National Grandparent's Day,2022-09-11,False,US,Sunday,Sunday
90,Patriot Day,2022-09-11,False,US,Sunday,Sunday
91,National POW/MIA Recognition Day,2022-09-16,False,US,Friday,Friday
92,Citizenship Day,2022-09-17,False,US,Saturday,Friday
93,National CleanUp Day,2022-09-17,False,US,Saturday,Saturday
94,Air Force Birthday,2022-09-18,False,US,Sunday,Sunday
95,September Equinox,2022-09-23,False,US,Friday,Friday
96,Gold Star Mother's Day,2022-09-25,False,US,Sunday,Sunday
97,Rosh Hashanah,2022-09-26,False,US,Monday,Monday
98,Child Health Day,2022-10-03,False,US,Monday,Monday
99,Feast of Saint Francis Assisi,2022-10-04,False,US,Tuesday,Tuesday
100,Yom Kippur,2022-10-05,False,US,Wednesday,Wednesday
101,German-American Day,2022-10-06,False,US,Thursday,Thursday
102,Leif Erikson Day,2022-10-09,False,US,Sunday,Sunday
103,Columbus Day,2022-10-10,True,US,Monday,Monday
104,Navy Birthday,2022-10-13,False,US,Thursday,Thursday
105,White Cane Safety Day,2022-10-15,False,US,Saturday,Saturday
106,Boss's Day,2022-10-16,False,US,Sunday,Monday
107,Halloween,2022-10-31,False,US,Monday,Monday
108,All Saints' Day,2022-11-01,False,US,Tuesday,Tuesday
109,All Souls' Day,2022-11-02,False,US,Wednesday,Wednesday
110,End of Daylight Saving Time,2022-11-06,False,US,Sunday,Sunday
111,New York City Marathon,2022-11-06,False,US,Sunday,Sunday
112,Election Day,2022-11-08,False,US,Tuesday,Tuesday
113,Marine Corps Birthday,2022-11-10,False,US,Thursday,Thursday
114,Veterans Day,2022-11-11,True,US,Friday,Friday
115,Thanksgiving Day,2022-11-24,True,US,Thursday,Thursday
116,Black Friday,2022-11-25,False,US,Friday,Friday
117,First Sunday of Advent,2022-11-27,False,US,Sunday,Sunday
118,Cyber Monday,2022-11-28,False,US,Monday,Monday
119,Saint Nicholas' Day,2022-12-06,False,US,Tuesday,Tuesday
120,Pearl Harbor Remembrance Day,2022-12-07,False,US,Wednesday,Wednesday
121,Feast of the Immaculate Conception,2022-12-08,False,US,Thursday,Thursday
122,Feast of Our Lady Guadalupe,2022-12-12,False,US,Monday,Monday
123,National Guard Birthday,2022-12-13,False,US,Tuesday,Tuesday
124,Bill of Rights Day,2022-12-15,False,US,Thursday,Thursday
125,Pan American Aviation Day,2022-12-17,False,US,Saturday,Saturday
126,Wright Brothers Day,2022-12-17,False,US,Saturday,Saturday
127,Hanukkah,2022-12-19,False,US,Monday,Monday
128,Second Day of Hanukkah,2022-12-20,False,US,Tuesday,Tuesday
129,December Solstice,2022-12-21,False,US,Wednesday,Wednesday
130,Third Day of Hanukkah,2022-12-21,False,US,Wednesday,Wednesday
131,Fourth Day of Hanukkah,2022-12-22,False,US,Thursday,Thursday
132,Fifth Day of Hanukkah,2022-12-23,False,US,Friday,Friday
133,Christmas Eve,2022-12-24,False,US,Saturday,Saturday
134,Sixth Day of Hanukkah,2022-12-24,False,US,Saturday,Saturday
135,Seventh Day of Hanukkah,2022-12-25,False,US,Sunday,Sunday
136,Christmas Day,2022-12-25,True,US,Sunday,Monday
137,Eighth Day of Hanukkah,2022-12-26,False,US,Monday,Monday
138,Kwanzaa,2022-12-26,False,US,Monday,Monday
139,Second Day of Kwanzaa,2022-12-27,False,US,Tuesday,Tuesday
140,Third Day of Kwanzaa,2022-12-28,False,US,Wednesday,Wednesday
141,Fourth Day of Kwanzaa,2022-12-29,False,US,Thursday,Thursday
142,Fifth Day of Kwanzaa,2022-12-30,False,US,Friday,Friday
143,New Year's Eve,2022-12-31,False,US,Saturday,Saturday
144,Sixth Day of Kwanzaa,2022-12-31,False,US,Saturday,Saturday
